"date","pt","dose","coverage"
2021-04-17,"New Brunswick","dose_1",23.15
2021-04-17,"New Brunswick","dose_2",2.39
2021-04-17,"Quebec","dose_1",27.02
2021-04-17,"Quebec","dose_2",0.35
2021-04-17,"Ontario","dose_1",23.57
2021-04-17,"Ontario","dose_2",2.33
2021-04-17,"Manitoba","dose_1",19.35
2021-04-17,"Manitoba","dose_2",5.04
2021-04-17,"Saskatchewan","dose_1",26.22
2021-04-17,"Saskatchewan","dose_2",3.63
2021-04-17,"Alberta","dose_1",21
2021-04-17,"Alberta","dose_2",5.23
2021-04-17,"British Columbia","dose_1",24.73
2021-04-17,"British Columbia","dose_2",1.69
2021-04-17,"Yukon","dose_1",56.62
2021-04-17,"Yukon","dose_2",46.8
2021-04-17,"Northwest Territories","dose_1",58.36
2021-04-17,"Northwest Territories","dose_2",44.32
2021-04-17,"Nunavut","dose_1",36.17
2021-04-17,"Nunavut","dose_2",27.74
2021-04-24,"Newfoundland and Labrador","dose_1",28.32
2021-04-24,"Newfoundland and Labrador","dose_2",1.86
2021-04-24,"Prince Edward Island","dose_1",24.06
2021-04-24,"Prince Edward Island","dose_2",6.26
2021-04-24,"Nova Scotia","dose_1",24.05
2021-04-24,"Nova Scotia","dose_2",3.51
2021-04-24,"New Brunswick","dose_1",27.78
2021-04-24,"New Brunswick","dose_2",3.06
2021-04-24,"Quebec","dose_1",32.23
2021-04-24,"Quebec","dose_2",0.6
2021-04-24,"Ontario","dose_1",28.79
2021-04-24,"Ontario","dose_2",2.43
2021-04-24,"Manitoba","dose_1",25.26
2021-04-24,"Manitoba","dose_2",5.16
2021-04-24,"Saskatchewan","dose_1",30.51
2021-04-24,"Saskatchewan","dose_2",3.69
2021-04-24,"Alberta","dose_1",25.37
2021-04-24,"Alberta","dose_2",6.09
2021-04-24,"British Columbia","dose_1",29.59
2021-04-24,"British Columbia","dose_2",1.71
2021-04-24,"Yukon","dose_1",57.79
2021-04-24,"Yukon","dose_2",50.13
2021-04-24,"Northwest Territories","dose_1",59.46
2021-04-24,"Northwest Territories","dose_2",48.17
2021-04-24,"Nunavut","dose_1",38.47
2021-04-24,"Nunavut","dose_2",30.91
2021-05-01,"Newfoundland and Labrador","dose_1",32.9
2021-05-01,"Newfoundland and Labrador","dose_2",1.86
